t,track_id,x_pix,y_pix,z_m,d_pix
1758630085.5182219,4,555,300,8.143,35
1758630085.643865,1,606,299,3.353,85
1758630085.643865,2,520,393,2.478,115
1758630085.643865,3,534,333,4.524,63
1758630085.643865,4,556,301,7.917,36
1758630085.676448,1,606,299,3.314,86
1758630085.676448,2,519,392,2.457,116
1758630085.676448,3,534,333,4.524,63
1758630085.643865,4,556,301,7.917,36
1758630085.7246933,1,604,300,3.353,85
1758630085.7246933,2,518,392,2.478,115
1758630085.7246933,3,533,333,4.453,64
1758630085.643865,4,556,301,7.917,36
1758630085.7555895,1,605,299,3.314,86
1758630085.7555895,2,517,393,2.457,116
1758630085.7555895,3,533,333,4.750,60
1758630085.643865,4,556,301,7.917,36
1758630085.8069193,1,604,300,3.314,86
1758630085.8069193,2,517,392,2.457,116
1758630085.8069193,3,528,343,5.182,55
1758630085.643865,4,556,301,7.917,36
1758630085.8368258,1,604,300,3.314,86
1758630085.8368258,2,517,393,2.478,115
1758630085.8368258,3,533,335,4.672,61
1758630085.643865,4,556,301,7.917,36
1758630085.8864408,1,603,300,3.314,86
1758630085.8864408,2,517,394,2.457,116
1758630085.8864408,3,532,334,4.597,62
1758630085.643865,4,556,301,7.917,36
1758630085.9172733,1,603,301,3.276,87
1758630085.9172733,2,517,393,2.457,116
1758630085.9172733,3,532,336,4.524,63
1758630085.643865,4,556,301,7.917,36
1758630085.9641306,1,604,301,3.276,87
1758630085.9641306,2,517,394,2.436,117
1758630085.9641306,3,533,335,4.453,64
1758630085.643865,4,556,301,7.917,36
1758630086.0141406,1,604,302,3.314,86
1758630086.0141406,2,518,393,2.436,117
1758630086.0141406,3,533,337,4.524,63
1758630085.643865,4,556,301,7.917,36
1758630086.0443077,1,604,302,3.353,85
1758630086.0443077,2,520,397,2.522,113
1758630086.0443077,3,534,334,4.524,63
1758630085.643865,4,556,301,7.917,36
1758630086.094021,1,601,302,2.850,100
1758630086.094021,2,519,393,2.478,115
1758630086.094021,3,534,334,4.453,64
1758630085.643865,4,556,301,7.917,36
1758630086.1242154,1,600,302,2.850,100
1758630086.1242154,2,519,393,2.478,115
1758630086.1242154,3,535,334,4.385,65
1758630085.643865,4,556,301,7.917,36
1758630086.1720214,1,601,301,2.850,100
1758630086.1720214,2,519,393,2.457,116
1758630086.1720214,3,535,334,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.2045474,1,584,310,2.111,135
1758630086.2045474,2,520,394,2.436,117
1758630086.1720214,3,535,334,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.252436,1,601,301,2.879,99
1758630086.252436,2,521,394,2.457,116
1758630086.252436,3,536,335,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.301228,1,585,310,2.143,133
1758630086.301228,2,521,393,2.457,116
1758630086.252436,3,536,335,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.3329442,1,585,310,2.159,132
1758630086.3329442,2,522,394,2.415,118
1758630086.252436,3,536,335,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.3820338,1,585,310,2.143,133
1758630086.3820338,2,521,394,2.457,116
1758630086.252436,3,536,335,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.4144895,1,586,309,2.143,133
1758630086.4144895,2,522,395,2.500,114
1758630086.252436,3,536,335,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.462608,1,585,309,2.127,134
1758630086.462608,2,521,394,2.457,116
1758630086.252436,3,536,335,4.318,66
1758630085.643865,4,556,301,7.917,36
1758630086.492895,1,606,301,3.393,84
1758630086.492895,2,521,395,2.457,116
1758630086.492895,3,536,334,4.385,65
1758630085.643865,4,556,301,7.917,36
1758630086.539377,1,606,301,3.393,84
1758630086.539377,2,522,395,2.545,112
1758630086.539377,3,535,334,4.453,64
1758630085.643865,4,556,301,7.917,36
1758630086.5900354,1,605,301,3.393,84
1758630086.5900354,2,521,394,2.457,116
1758630086.5900354,3,535,334,4.453,64
1758630085.643865,4,556,301,7.917,36
1758630086.621349,1,605,301,3.393,84
1758630086.621349,2,522,396,2.568,111
1758630086.621349,3,536,334,4.453,64
1758630085.643865,4,556,301,7.917,36
1758630086.6672428,1,606,301,3.393,84
1758630086.6672428,2,521,393,2.478,115
1758630086.6672428,3,535,333,4.453,64
1758630086.6998863,1,601,301,2.879,99
1758630086.6998863,2,527,366,2.159,132
1758630086.6672428,3,535,333,4.453,64
1758630086.7472396,1,605,298,3.476,82
1758630086.7472396,2,528,365,2.176,131
1758630086.6672428,3,535,333,4.453,64
1758630086.7788668,1,608,299,3.701,77
1758630086.7788668,2,524,390,2.500,114
1758630086.7788668,3,538,332,4.385,65
1758630086.8300743,1,611,298,3.851,74
1758630086.7788668,2,524,390,2.500,114
1758630086.8300743,3,537,359,1.851,154
1758630086.8603594,1,614,296,4.014,71
1758630086.7788668,2,524,390,2.500,114
1758630086.8603594,3,541,365,2.262,126
1758630086.9087243,1,619,295,4.130,69
1758630086.9087243,2,549,390,2.522,113
1758630086.9087243,3,550,324,4.385,65
1758630086.955742,1,618,297,3.904,73
1758630086.955742,2,581,419,9.500,30
1758630086.955742,3,548,331,4.831,59
1758630086.9892561,1,593,311,2.478,115
1758630086.9892561,2,597,418,9.500,30
1758630086.955742,3,548,331,4.831,59
1758630087.038717,1,600,314,3.276,87
1758630087.038717,2,612,416,9.828,29
1758630086.955742,3,548,331,4.831,59
1758630087.0686567,1,609,314,3.202,89
1758630087.0686567,2,626,412,5.700,50
1758630086.955742,3,548,331,4.831,59
1758630087.117521,1,611,320,4.254,67
1758630087.0686567,2,626,412,5.700,50
1758630086.955742,3,548,331,4.831,59
1758630087.1497297,1,616,321,5.278,54
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.1952639,1,623,336,3.167,90
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.2433026,1,624,336,3.608,79
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.2758274,1,625,336,3.608,79
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.3231027,1,623,336,3.608,79
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.355103,1,621,339,2.969,96
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.4032722,1,611,317,4.597,62
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.4363456,1,611,310,3.562,80
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.4843507,1,597,311,3.098,92
1758630087.1497297,2,628,377,6.477,44
1758630086.955742,3,548,331,4.831,59
1758630087.5177298,1,627,294,7.917,36
1758630087.1497297,2,628,377,6.477,44
1758630087.5177298,3,564,317,3.958,72
1758630087.563942,1,612,297,5.182,55
1758630087.1497297,2,628,377,6.477,44
1758630087.5177298,3,564,317,3.958,72
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.6131508,3,584,301,4.750,60
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.6447442,3,567,310,3.654,78
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.6913135,3,549,313,3.608,79
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.724309,3,536,313,3.476,82
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.7737126,3,529,311,3.562,80
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.8046687,3,527,308,3.519,81
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.8544576,3,534,305,5.182,55
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.9004934,3,533,299,4.914,58
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.9317632,3,530,296,4.524,63
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630087.9815814,3,534,293,5.089,56
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630088.0116527,3,531,290,4.524,63
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630088.0605907,3,532,287,5.089,56
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630088.0920987,3,529,287,5.000,57
1758630087.6131508,1,607,322,7.703,37
1758630087.1497297,2,628,377,6.477,44
1758630088.1410062,3,528,286,5.000,57
1758630087.6131508,1,607,322,7.703,37
1758630088.1887617,3,527,285,5.182,55
1758630087.6131508,1,607,322,7.703,37
1758630088.219651,3,526,284,5.182,55
1758630087.6131508,1,607,322,7.703,37
1758630088.2700849,3,524,284,5.182,55
1758630087.6131508,1,607,322,7.703,37
1758630088.3001466,3,524,284,5.377,53
1758630087.6131508,1,607,322,7.703,37
1758630088.3475697,3,523,283,5.588,51
1758630087.6131508,1,607,322,7.703,37
1758630088.3801606,3,522,284,5.588,51
1758630087.6131508,1,607,322,7.703,37
1758630088.428886,3,522,285,5.588,51
1758630087.6131508,1,607,322,7.703,37
1758630088.462726,3,521,284,5.377,53
1758630087.6131508,1,607,322,7.703,37
1758630088.5090578,3,521,285,5.588,51
1758630087.6131508,1,607,322,7.703,37
1758630088.5566123,3,519,285,5.481,52
1758630087.6131508,1,607,322,7.703,37
1758630088.5888538,3,521,284,5.377,53
1758630088.637717,3,518,283,5.089,56
1758630088.6700149,3,519,282,5.089,56
1758630088.7188265,3,521,280,4.750,60
1758630088.7481,3,520,278,3.608,79
1758630088.7978566,3,520,276,3.654,78
1758630088.8453825,3,519,276,3.608,79
1758630088.8758981,3,519,275,3.701,77
1758630088.9272733,3,520,275,3.608,79
1758630088.9576917,3,519,274,3.701,77
1758630089.0050094,3,518,273,3.654,78
1758630089.036614,3,516,273,3.800,75
1758630089.084207,3,516,274,3.800,75
1758630089.1338842,3,516,273,3.750,76
1758630089.1657193,3,516,273,3.750,76
1758630089.2131531,3,516,274,3.701,77
1758630089.2446716,3,516,273,3.654,78
1758630089.2945585,3,516,273,3.701,77
1758630089.3237824,3,516,273,3.750,76
1758630089.3721497,3,516,273,3.701,77
1758630089.4045923,3,516,273,3.701,77
1758630089.4518864,3,517,274,3.654,78
1758630089.5005937,3,518,274,3.701,77
1758630089.5335388,3,519,275,3.654,78
1758630089.5802064,3,520,274,3.562,80
1758630089.611903,3,521,274,3.608,79
1758630089.6612513,3,521,273,3.562,80
1758630089.6918364,3,521,273,3.519,81
1758630089.7427647,3,521,272,3.519,81
1758630089.787755,3,522,272,3.562,80
1758630089.8198965,3,522,272,3.519,81
1758630089.8705003,3,521,272,3.562,80
1758630089.9018526,3,521,272,3.519,81
1758630089.9487882,3,522,272,3.519,81
1758630089.9822445,3,522,273,3.519,81
1758630090.0285916,3,522,273,3.519,81
1758630090.0604863,3,522,273,3.562,80
1758630090.1085792,3,525,273,3.608,79
1758630090.1589835,3,528,272,3.519,81
1758630090.1894782,3,532,272,3.519,81
1758630090.2370682,3,535,272,3.434,83
1758630090.2682028,3,537,270,3.476,82
1758630090.3175964,3,538,269,3.476,82
1758630090.3502793,3,537,267,3.519,81
1758630090.3955297,3,537,266,3.476,82
1758630090.446002,3,537,266,3.476,82
1758630090.4780183,3,536,267,3.562,80
1758630090.5237665,3,535,269,3.608,79
1758630090.5568726,3,534,271,3.562,80
1758630090.603502,3,535,275,3.476,82
1758630090.636402,3,533,277,3.476,82
1758630090.6841583,3,532,280,3.519,81
1758630090.7328875,3,532,282,3.476,82
1758630090.7649646,3,532,283,3.476,82
1758630090.8134136,3,534,283,3.476,82
1758630090.8456988,3,535,281,3.476,82
1758630090.8933477,3,536,278,3.519,81
1758630090.9244726,3,537,276,3.519,81
1758630090.9737146,3,536,272,3.562,80
1758630091.0041685,3,535,267,3.608,79
1758630091.0533085,3,534,264,3.608,79
1758630091.1021109,3,532,258,3.654,78
1758630091.1324334,3,530,256,3.562,80
1758630091.1824846,3,528,254,3.608,79
1758630091.2114131,3,526,252,3.701,77
1758630091.2602031,3,525,252,3.654,78
1758630091.2934716,3,526,255,3.750,76
1758630091.3406196,3,528,258,3.750,76
1758630091.3904357,3,530,264,3.654,78
1758630091.4208431,3,533,269,3.701,77
1758630091.4700422,3,536,275,3.608,79
1758630091.5004933,3,539,280,3.562,80
1758630091.5004933,4,469,380,5.182,55
1758630091.550562,3,542,284,3.434,83
1758630091.550562,4,470,381,4.672,61
1758630091.5798044,3,545,286,3.434,83
1758630091.5798044,4,472,382,4.014,71
1758630091.6281846,3,547,285,3.476,82
1758630091.6281846,4,474,381,3.851,74
1758630091.6787405,3,548,285,3.393,84
1758630091.6787405,4,475,381,4.130,69
1758630091.7077885,3,549,284,3.434,83
1758630091.7077885,4,480,386,5.481,52
1758630091.7577195,3,549,282,3.434,83
1758630091.7577195,4,477,379,4.191,68
1758630091.7882345,3,549,282,3.519,81
1758630091.7882345,4,478,380,4.597,62
1758630091.8370638,3,548,281,3.519,81
1758630091.8370638,4,477,379,4.524,63
1758630091.8683221,3,548,281,3.434,83
1758630091.8683221,4,478,380,4.524,63
1758630091.9196134,3,548,281,3.434,83
1758630091.9196134,4,476,378,4.524,63
1758630091.9196134,5,478,319,7.125,40
1758630091.9479005,3,547,281,3.434,83
1758630091.9479005,4,476,378,4.597,62
1758630091.9196134,5,478,319,7.125,40
1758630091.997185,3,547,281,3.434,83
1758630091.997185,4,475,377,4.597,62
1758630091.9196134,5,478,319,7.125,40
1758630092.0445557,3,546,281,3.434,83
