t,track_id,x_pix,y_pix,z_m,d_pix
1758630082.9739585,1,626,360,6.628,43
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.005295,1,620,364,4.385,65
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.0547135,1,612,364,3.958,72
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.1016197,1,603,369,3.202,89
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.1315417,1,591,370,2.938,97
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.1818628,1,579,371,3.000,95
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.2116318,1,569,372,2.969,96
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.2597167,1,560,374,3.065,93
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.2919507,1,552,376,3.032,94
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.3394468,1,545,380,3.065,93
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.3724606,1,539,382,3.065,93
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.4193923,1,533,383,3.098,92
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.4681828,1,529,384,3.167,90
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.5002844,1,528,385,3.098,92
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.548435,1,525,384,3.132,91
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.5812583,1,522,382,3.202,89
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.6295521,1,521,382,3.239,88
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.6596882,1,528,382,4.191,68
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.706923,1,528,378,4.750,60
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.754981,1,531,372,4.831,59
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.7870593,1,529,364,4.453,64
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.8350482,1,535,355,4.524,63
1758630082.8448744,2,602,454,6.628,43
1758630082.9739585,4,563,392,6.628,43
1758630083.8671143,1,536,345,3.958,72
1758630082.9739585,4,563,392,6.628,43
1758630083.9155183,1,539,339,4.014,71
1758630082.9739585,4,563,392,6.628,43
1758630083.947056,1,541,332,4.071,70
1758630082.9739585,4,563,392,6.628,43
1758630083.994989,1,537,326,3.202,89
1758630084.0427825,1,541,323,3.904,73
1758630084.0749626,1,541,320,3.098,92
1758630084.12321,1,543,319,3.098,92
1758630084.155248,1,546,319,3.098,92
1758630084.155248,2,482,446,10.179,28
1758630084.2031324,1,549,319,3.098,92
1758630084.2031324,2,484,444,7.500,38
1758630084.235122,1,555,319,3.098,92
1758630084.235122,2,483,436,4.831,59
1758630084.2828417,1,562,318,3.098,92
1758630084.2828417,2,489,433,4.750,60
1758630084.315393,1,571,317,3.032,94
1758630084.2828417,2,489,433,4.750,60
1758630084.362972,1,580,315,3.032,94
1758630084.362972,2,507,434,4.453,64
